Date,Price,Open,High,Low,Vol.,Change %
10/01/2017,"7,008.03","7,081.71","7,081.71","6,998.25",209.87M,-1.04%
09/01/2017,"7,081.71","7,138.86","7,144.99","7,030.40",241.75M,-0.80%
08/01/2017,"7,138.86","7,198.73","7,212.04","7,130.25",190.56M,-0.83%
05/01/2017,"7,198.73","7,198.11","7,224.50","7,176.32",219.58M,0.01%
04/01/2017,"7,198.11","7,250.76","7,254.61","7,182.79",236.52M,-0.73%
03/01/2017,"7,250.76","7,247.34","7,260.37","7,209.51",277.38M,0.05%
02/01/2017,"7,247.34","7,237.95","7,290.33","7,224.77",299.45M,0.13%
01/01/2017,"7,237.95","7,210.43","7,250.19","7,207.65",240.97M,0.38%
29/12/2016,"7,210.43","7,240.66","7,246.86","7,187.54",285.93M,-0.42%
28/12/2016,"7,240.66","7,257.17","7,279.20","7,238.54",292.25M,-0.23%
27/12/2016,"7,257.17","7,166.36","7,263.72","7,160.10",321.62M,1.27%
26/12/2016,"7,166.36","7,190.95","7,213.55","7,160.78",229.75M,-0.34%
25/12/2016,"7,190.95","7,087.76","7,206.72","7,087.76",297.52M,1.46%
22/12/2016,"7,087.76","7,056.71","7,094.62","7,046.75",217.12M,0.44%
21/12/2016,"7,056.71","7,031.11","7,061.52","7,022.23",168.89M,0.36%
20/12/2016,"7,031.11","7,076.88","7,076.88","7,001.97",238.65M,-0.65%
